Format Version,1.22,Take Name,Take 2019-12-05 02.58.00 PM,Capture Frame Rate,59.998657,Export Frame Rate,60.000000,Capture Start Time,2019-12-05 02.58.01.499 PM,Total Frames in Take,5414,Total Exported Frames,5414,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.266667,-0.723421,0.097607,-0.115534,-0.673637,-0.195519,0.877871,0.909129,0.000501,-0.214846,0.898824,0.935263,0.850130,-0.212981,0.849964,0.890412,0.874972,-0.177058,0.909833,0.909659,0.000000,-0.177191,0.852864,0.901180,0.923617,-0.214807,0.898512,0.934983,-0.213256,0.850232,0.890600,,,,-0.176970,0.852908,0.901271,0.210530,0.847788,1.871189,-2.130286,0.133674,-0.820341,-1.886134,0.227849,-0.665785,-2.075068,0.130832,-0.655947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.283333,-0.729769,0.111805,-0.119936,-0.663742,-0.195767,0.877383,0.909583,0.000365,-0.215543,0.897891,0.935734,0.865791,-0.213034,0.850155,0.889718,0.852328,-0.176983,0.909108,0.911402,0.000000,-0.177507,0.852376,0.901477,0.906050,-0.215705,0.897658,0.935463,-0.213091,0.850596,0.890134,,,,-0.177313,0.852188,0.901346,0.210614,0.847673,1.871232,-2.130364,0.133478,-0.820305,-1.929134,0.209333,-0.671493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.300000,-0.728142,0.106315,-0.117700,-0.666823,-0.196014,0.876536,0.909486,0.000478,-0.215587,0.897162,0.935697,0.868065,-0.213386,0.849093,0.890014,0.875449,-0.177338,0.908347,0.910865,0.000000,-0.177744,0.851540,0.901369,0.982657,-0.215810,0.896947,0.935434,-0.213311,0.849596,0.890517,,,,-0.177613,0.851284,0.901155,0.210637,0.847643,1.871235,-2.130630,0.133278,-0.820504,-1.973367,0.193282,-0.675312,-2.182143,0.141739,-0.685231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.316667,-0.730500,0.117812,-0.115540,-0.662677,-0.195978,0.876075,0.909425,0.000424,-0.215505,0.896732,0.935646,0.845528,-0.213597,0.849194,0.889398,0.845495,-0.176750,0.907522,0.911432,0.000000,-0.178062,0.850852,0.901224,0.950158,-0.215752,0.896569,0.935415,-0.213580,0.849648,0.889850,,,,-0.177858,0.850578,0.901013,0.210807,0.847455,1.871105,-2.130572,0.133038,-0.820210,-2.017822,0.180134,-0.675996,-2.229375,0.141024,-0.698521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.333333,-0.727633,0.115021,-0.111956,-0.666923,-0.195848,0.875637,0.909281,0.000324,-0.215083,0.896596,0.935478,0.847316,-0.213713,0.848603,0.889683,0.880012,-0.176529,0.907056,0.910801,0.000000,-0.178066,0.850292,0.901162,0.954936,-0.215242,0.896439,0.935282,-0.213688,0.848962,0.890035,,,,-0.177942,0.850104,0.901016,0.210559,0.847803,1.871194,-2.130657,0.132975,-0.820221,-2.062305,0.166682,-0.680428,-2.276327,0.143154,-0.709004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.350000,-0.725863,0.109941,-0.111044,-0.669854,-0.196071,0.874916,0.908611,0.000235,-0.215193,0.895975,0.934810,0.887786,-0.213960,0.847644,0.889368,0.897188,-0.176902,0.906443,0.909732,0.000000,-0.178228,0.849601,0.900535,0.971773,-0.215201,0.895900,0.934737,-0.214215,0.847726,0.889380,,,,-0.177970,0.849597,0.900598,0.210800,0.847341,1.871180,-2.130755,0.133056,-0.820333,,,,-2.322959,0.146779,-0.718536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.366667,-0.720676,0.105787,-0.106956,-0.676754,-0.196140,0.874424,0.907561,0.000689,-0.214908,0.895967,0.933622,0.974476,-0.214311,0.846869,0.888997,0.915251,-0.176896,0.905923,0.907918,0.000000,-0.178445,0.848936,0.899705,0.934058,-0.214706,0.895552,0.933292,-0.214686,0.846995,0.889020,,,,-0.178262,0.849220,0.900009,0.210585,0.847752,1.871238,-2.130818,0.132968,-0.820343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.383333,-0.713298,0.121654,-0.113429,-0.680838,-0.197022,0.873426,0.907436,0.000204,-0.216235,0.895638,0.932596,0.819592,-0.215061,0.845912,0.888683,0.842008,-0.177274,0.904609,0.907974,0.000000,-0.179519,0.847544,0.900491,0.821841,-0.216332,0.895572,0.932508,-0.215109,0.846105,0.888841,,,,-0.179380,0.847420,0.900422,0.210514,0.847770,1.871210,-2.130826,0.132790,-0.820244,,,,-2.413205,0.154728,-0.739169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.400000,-0.715986,0.086055,-0.101348,-0.685338,-0.196760,0.873163,0.905565,0.000647,-0.214986,0.894942,0.931814,0.935678,-0.215066,0.844889,0.888259,0.943609,-0.178098,0.904997,0.904558,0.000000,-0.178888,0.847824,0.897629,0.968238,-0.215464,0.894940,0.931722,-0.215084,0.845402,0.888702,,,,-0.178429,0.847292,0.897251,0.210800,0.847476,1.871076,-2.130900,0.132735,-0.820300,,,,-2.456428,0.160308,-0.750585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.416667,-0.708939,0.101371,-0.095139,-0.691432,-0.196175,0.871942,0.905661,0.000391,-0.213993,0.894683,0.931368,0.782297,-0.215190,0.844037,0.888521,0.882807,-0.176463,0.903129,0.904446,0.000000,-0.179052,0.845919,0.898308,0.849701,-0.214104,0.894474,0.931167,-0.215036,0.844406,0.888867,,,,-0.179087,0.845781,0.898185,0.210852,0.847422,1.871150,-2.130979,0.132623,-0.820344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
